keyword,n_papers,spearman_academic,spearman_public
artificial general intelligence,10,0.3918514551371243,0.1285272772849768
augmented reality,10,0.4240846099662854,-0.43041423101055837
big data,10,0.3082736671676462,0.528469143715965
blockchain,10,0.2000090709118581,0.25080502542915534
chatbot,10,-0.07692344105857102,-0.058461815204513976
cryptocurrency,10,0.11601539606972988,0.39821500813123506
edge computing,10,-0.12064039197858108,-0.3619211759357432
generative ai,10,-0.15504341823651058,0.15504341823651058
metaverse,10,0.43749999999999994,0.3541666666666665
quantum computing,10,0.13292204192973123,0.12659242088545833
