keyword,month,count
augmented reality,2015-01-31,171
augmented reality,2015-02-28,22
augmented reality,2015-03-31,27
augmented reality,2015-04-30,29
augmented reality,2015-05-31,23
augmented reality,2015-06-30,30
augmented reality,2015-07-31,45
augmented reality,2015-08-31,22
augmented reality,2015-09-30,51
augmented reality,2015-10-31,55
augmented reality,2015-11-30,40
augmented reality,2015-12-31,52
augmented reality,2016-01-31,209
augmented reality,2016-02-29,34
augmented reality,2016-03-31,34
augmented reality,2016-04-30,25
augmented reality,2016-05-31,52
augmented reality,2016-06-30,36
augmented reality,2016-07-31,41
augmented reality,2016-08-31,25
augmented reality,2016-09-30,70
augmented reality,2016-10-31,55
augmented reality,2016-11-30,47
augmented reality,2016-12-31,51
augmented reality,2017-01-31,233
augmented reality,2017-02-28,38
augmented reality,2017-03-31,50
augmented reality,2017-04-30,48
augmented reality,2017-05-31,52
augmented reality,2017-06-30,57
augmented reality,2017-07-31,54
augmented reality,2017-08-31,57
augmented reality,2017-09-30,68
augmented reality,2017-10-31,82
augmented reality,2017-11-30,70
augmented reality,2017-12-31,50
augmented reality,2018-01-31,264
augmented reality,2018-02-28,55
augmented reality,2018-03-31,71
augmented reality,2018-04-30,68
augmented reality,2018-05-31,68
augmented reality,2018-06-30,93
augmented reality,2018-07-31,71
augmented reality,2018-08-31,84
augmented reality,2018-09-30,76
augmented reality,2018-10-31,107
augmented reality,2018-11-30,87
augmented reality,2018-12-31,95
augmented reality,2019-01-31,266
augmented reality,2019-02-28,58
augmented reality,2019-03-31,102
augmented reality,2019-04-30,86
augmented reality,2019-05-31,89
augmented reality,2019-06-30,81
augmented reality,2019-07-31,95
augmented reality,2019-08-31,79
augmented reality,2019-09-30,90
augmented reality,2019-10-31,151
augmented reality,2019-11-30,143
augmented reality,2019-12-31,111
augmented reality,2020-01-31,317
augmented reality,2020-02-29,98
augmented reality,2020-03-31,110
augmented reality,2020-04-30,105
augmented reality,2020-05-31,77
augmented reality,2020-06-30,116
augmented reality,2020-07-31,86
augmented reality,2020-08-31,90
augmented reality,2020-09-30,97
augmented reality,2020-10-31,120
augmented reality,2020-11-30,141
augmented reality,2020-12-31,116
augmented reality,2021-01-31,237
augmented reality,2021-02-28,76
augmented reality,2021-03-31,133
augmented reality,2021-04-30,72
augmented reality,2021-05-31,114
augmented reality,2021-06-30,107
augmented reality,2021-07-31,89
augmented reality,2021-08-31,118
augmented reality,2021-09-30,116
augmented reality,2021-10-31,121
augmented reality,2021-11-30,94
augmented reality,2021-12-31,104
augmented reality,2022-01-31,219
augmented reality,2022-02-28,85
augmented reality,2022-03-31,93
augmented reality,2022-04-30,132
augmented reality,2022-05-31,83
augmented reality,2022-06-30,83
augmented reality,2022-07-31,68
augmented reality,2022-08-31,73
augmented reality,2022-09-30,99
augmented reality,2022-10-31,95
augmented reality,2022-11-30,77
augmented reality,2022-12-31,94
augmented reality,2023-01-31,152
augmented reality,2023-02-28,82
augmented reality,2023-03-31,86
augmented reality,2023-04-30,82
augmented reality,2023-05-31,71
augmented reality,2023-06-30,65
augmented reality,2023-07-31,53
augmented reality,2023-08-31,51
augmented reality,2023-09-30,60
augmented reality,2023-10-31,78
augmented reality,2023-11-30,52
augmented reality,2023-12-31,52
augmented reality,2024-01-31,95
augmented reality,2024-02-29,48
augmented reality,2024-03-31,51
augmented reality,2024-04-30,33
augmented reality,2024-05-31,45
augmented reality,2024-06-30,33
augmented reality,2024-07-31,27
augmented reality,2024-08-31,17
augmented reality,2024-09-30,16
augmented reality,2024-10-31,20
augmented reality,2024-11-30,11
augmented reality,2024-12-31,6
augmented reality,2025-01-31,6
augmented reality,2025-02-28,8
augmented reality,2025-03-31,7
augmented reality,2025-04-30,1
augmented reality,2025-05-31,2
,2025-06-30,0
,2025-07-31,0
,2025-08-31,0
,2025-09-30,0
,2025-10-31,0
,2025-11-30,0
,2025-12-31,0
