keyword,publication_year,count,normalized_count
chatbot,2010,8,0.0032599837000814994
chatbot,2011,11,0.004482477587612062
chatbot,2012,9,0.003667481662591687
chatbot,2013,19,0.007742461287693562
chatbot,2014,24,0.009779951100244499
chatbot,2015,18,0.007334963325183374
chatbot,2016,46,0.018744906275468622
chatbot,2017,165,0.06723716381418093
chatbot,2018,405,0.16503667481662593
chatbot,2019,671,0.2734311328443358
chatbot,2020,883,0.35982070089649554
chatbot,2021,1004,0.4091279543602282
chatbot,2022,1142,0.46536267318663405
chatbot,2023,2084,0.8492257538712307
chatbot,2024,2454,1.0
chatbot,2025,918,0.3740831295843521
