year,big data,quantum computing,artificial general intelligence,blockchain,cryptocurrency,metaverse,edge computing,generative ai,chatbot,augmented reality
2015,10.0,0.42,0.0,1.75,0.0,0.0,0.0,0.0,0.5,1.78
2016,10.17,0.25,0.0,5.42,0.83,0.0,0.0,0.0,1.03,2.4
2017,10.83,0.92,0.0,18.75,18.25,0.08,0.04,0.0,2.53,3.15
2018,10.08,1.0,0.0,25.0,25.58,0.04,0.5,0.0,3.19,2.94
2019,9.92,1.08,0.0,15.83,8.58,0.0,0.5,0.0,3.48,2.69
2020,8.42,1.0,0.0,13.17,9.92,0.0,0.5,0.0,3.89,2.48
2021,7.83,1.0,0.0,22.75,43.17,8.32,0.62,0.0,3.56,2.07
2022,9.33,1.17,0.0,20.92,20.67,17.76,0.75,0.08,4.8,2.44
2023,8.33,1.92,0.0,14.17,9.58,4.97,0.54,4.68,13.12,2.11
2024,7.42,2.5,0.0,16.08,9.67,2.57,0.5,7.24,11.43,2.03
2025,9.92,8.0,0.33,18.67,19.33,2.32,1.24,14.94,17.51,2.4
