buzzword,year,views
Artificial intelligence,2015,979009
Artificial intelligence,2016,2296102
Artificial intelligence,2017,3126371
Artificial intelligence,2018,3768322
Artificial intelligence,2019,3833876
Artificial intelligence,2020,3388585
Artificial intelligence,2021,3765354
Artificial intelligence,2022,6489005
Artificial intelligence,2023,10488978
Artificial intelligence,2024,8663253
Artificial intelligence,2025,7397907
Augmented reality,2015,328331
Augmented reality,2016,1108965
Augmented reality,2017,1073057
Augmented reality,2018,988707
Augmented reality,2019,951621
Augmented reality,2020,909587
Augmented reality,2021,846414
Augmented reality,2022,990213
Augmented reality,2023,990930
Augmented reality,2024,791464
Augmented reality,2025,550849
Big data,2015,839403
Big data,2016,1561738
Big data,2017,1492437
Big data,2018,1410442
Big data,2019,1248884
Big data,2020,1005222
Big data,2021,864332
Big data,2022,844386
Big data,2023,709098
Big data,2024,500950
Big data,2025,350716
Blockchain,2015,19076
Blockchain,2016,54777
Blockchain,2017,4223894
Blockchain,2018,5597059
Blockchain,2019,2677504
Blockchain,2020,1818568
Blockchain,2021,2719101
Blockchain,2022,2098002
Blockchain,2023,1178285
Blockchain,2024,1320494
Blockchain,2025,1178856
Chatbot,2015,14263
Chatbot,2016,143991
Chatbot,2017,432024
Chatbot,2018,434039
Chatbot,2019,373078
Chatbot,2020,333391
Chatbot,2021,296724
Chatbot,2022,319304
Chatbot,2023,846923
Chatbot,2024,1197484
Chatbot,2025,633987
Cryptocurrency,2015,189903
Cryptocurrency,2016,550022
Cryptocurrency,2017,3168602
Cryptocurrency,2018,3126000
Cryptocurrency,2019,1742217
Cryptocurrency,2020,2390033
Cryptocurrency,2021,5786957
Cryptocurrency,2022,3357739
Cryptocurrency,2023,2091997
Cryptocurrency,2024,2377107
Cryptocurrency,2025,1975999
Edge computing,2015,22057
Edge computing,2016,68085
Edge computing,2017,146531
Edge computing,2018,255182
Edge computing,2019,329554
Edge computing,2020,398044
Edge computing,2021,459119
Edge computing,2022,399970
Edge computing,2023,284036
Edge computing,2024,272027
Edge computing,2025,204299
Generative artificial intelligence,2023,688674
Generative artificial intelligence,2024,1245302
Generative artificial intelligence,2025,1346777
Metaverse,2015,20034
Metaverse,2016,48109
Metaverse,2017,52113
Metaverse,2018,44064
Metaverse,2019,51447
Metaverse,2020,161998
Metaverse,2021,2298132
Metaverse,2022,3343745
Metaverse,2023,942241
Metaverse,2024,677186
Metaverse,2025,457794
Quantum computing,2015,452986
Quantum computing,2016,973874
Quantum computing,2017,1118003
Quantum computing,2018,1231722
Quantum computing,2019,1448590
Quantum computing,2020,1133307
Quantum computing,2021,1166041
Quantum computing,2022,1178688
Quantum computing,2023,1496590
Quantum computing,2024,1358461
Quantum computing,2025,1489890
